,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,SI,SI,SI,SI,SI,SI,SI,SI,LI,LI,LI,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi
(−)-trans-Methyl dihydrojasmonate,19.69408082,19.72689356,19.352168,19.75067326,19.64552093,19.53070916,19.78589106,19.71927783,21.56648151,19.33497247,19.36207929,17.96967408,18.59615961,17.38942294,18.47303893,19.5193389,19.42823678,19.64552093,19.31002904,17.41496535,17.43638867,17.05921329,17.33438111,18.3133069,17.17003625,17.78060391,17.14425742,17.6111505,18.32268265,19.13220894,18.03248805,17.9998505,17.14004639,17.25074061,16.70805496,17.23734345,17.57500478,18.48910652,18.70231682,19.352168,18.52676426,19.55141308,18.85323068,19.89416423,19.70570019,19.09962531,20.93436377,20.62455618,20.74774706
"(1'R,2R,4S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-4,12',24'-trihydroxy-21'-methoxy-5,11',13',22'-tetramethyl-3,4,5,6-tetrahydro-2'H-spiro[pyran-2,6'-[3,7,19]trioxate
tracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-2'-one",19.54825729,19.65889807,19.33805587,19.68748146,19.04047573,19.260331,19.50995069,18.7802127,16.77027819,19.07201477,18.53389434,17.66365571,18.0586613,17.15852443,18.01146293,18.15464145,19.03025523,18.60305762,19.39348584,17.51534571,17.35407047,17.59845588,17.62105985,18.1161608,17.68056589,18.0586613,18.10578887,17.35024369,18.13948153,18.02921212,17.92728667,17.88770393,18.64475698,17.99140645,17.94341479,18.12719803,17.54649486,18.77144294,18.33529315,18.0586613,18.33529315,19.19242154,18.96721801,18.94541958,17.84755624,17.98086299,19.59017442,19.16940818,18.86486064
"(10E,15E)-9,12,13-Trihydroxy-10,15-octadecadienoic acid",20.18408031,19.8106568,20.2108308,20.02152762,20.09147817,19.66472141,20.09147817,20.04754227,18.27534103,19.72207718,18.8074101,18.39117818,18.81676776,17.8161691,18.81676776,18.42002047,19.00543869,19.1649117,18.75547232,19.22890388,18.787674,18.27208938,19.260331,19.66777342,18.8195583,19.3463999,18.91571448,18.93805638,18.3133069,18.55186616,19.63489484,19.11703062,19.13527628,18.35565986,19.39970209,18.18464667,18.9571973,18.97417879,19.09588484,19.10723899,19.12011333,20.12321135,18.91571448,20.38759492,18.28878289,18.71141576,20.06738061,20.49809139,19.5749759
"(11S,12E,14Z)-11-Hydroxy-12,14-icosadienoic acid",20.48759891,20.08069826,20.4147303,20.6502244,19.75406206,20.22257204,20.33698901,19.57836204,18.96396097,19.9627974,19.82898419,19.09962531,18.90297523,18.67811109,19.06238381,19.01410095,19.18931362,19.91132886,19.18392335,18.19887954,18.25737727,18.16953246,18.23890189,19.61028461,17.91182448,19.06238381,17.9861632,18.31947698,18.99564301,19.53070916,18.97702077,18.86774775,18.83973298,18.20971123,17.38942294,18.8971044,18.56236906,19.326447,19.43491046,19.43185192,19.43491046,20.23692575,19.21673828,20.09147817,19.4969308,19.20592648,19.99961921,20.26270812,19.81932641
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",20.11616775,20.02818357,20.24412436,21.04720329,20.07443299,20.20392982,20.2255217,20.97944031,22.04536783,19.93297249,19.14803884,19.55966117,20.49809139,18.47900305,20.57993478,20.55752265,20.25507137,20.21962998,20.04754227,18.51888224,19.24427233,17.86557475,18.79865474,19.5749759,19.92986506,18.51454713,18.21314748,19.69077685,18.65848941,18.69532822,18.45150553,19.5432772,18.41185513,20.10987628,18.5042455,18.59338538,18.04271581,20.47791225,20.69569516,19.5193389,20.26962221,19.82620438,19.91132886,20.93436377,20.08367381,20.06470702,20.46367918,20.00307278,21.73124539
"(13R)-19-Amino-8,16-dihydroxy-16-oxido-10-oxo-11,15,17-trioxa-16lambda~5~-phosphanonadecan-13-yl (9Z)-9-octadecenoate",24.65059357,23.449772,23.67218665,24.18691041,23.7071951,23.76527801,23.94760267,21.7019328,20.4147303,24.38757812,22.93365595,20.67567178,22.48414125,20.5444515,22.55632039,22.75770581,23.65478831,24.00008528,22.81513372,20.62455618,21.86143331,20.18144746,21.87161383,22.79747593,20.83738784,22.75206312,20.82336587,21.00323592,23.21444535,22.57454144,22.26817342,22.25594865,21.99585615,22.6881991,21.42204329,23.14039598,22.85948919,22.14161702,22.47147767,22.46251777,21.56281004,22.48805423,22.78907418,23.286819,22.3284401,22.95774475,23.75937124,23.6679475,23.08116289
"(17R,23S)-12,20,23,26,26-Pentahydroxy-20,26-dioxido-14-oxo-15,19,21,25-tetraoxa-20lambda~5~,26lambda~5~-diphosphahexacosan-17-yl 3-hydroxytetradecanoate",18.5399265,18.27847793,18.45945617,17.47235624,18.68493524,17.83989861,17.85488187,19.9919847,18.16617694,18.19204978,17.23734345,21.00959271,21.65513658,19.95977436,19.80647831,18.55761038,17.44435243,17.97781095,20.24677112,21.08271411,19.86212104,22.38174022,19.37115163,20.36826559,21.05073345,20.52631653,20.76024233,19.35906636,18.77144294,21.29141508,18.40303621,19.97645867,22.61368952,22.46251777,22.53179998,21.27987001,20.48759891,18.65533778,20.63101056,18.8971044,18.78530609,18.64475698,20.53788905,17.9559103,19.20335547,19.81364659,19.01738349,17.93023859,17.6175268
"(17Z)-N-{(2S,3R,4E)-3-Hydroxy-1-[(3-O-sulfo-beta-D-threo-hexopyranosyl)oxy]-4-octadecen-2-yl}-17-hexacosenamide",17.75362341,17.81250584,17.87633065,17.86557475,18.26683632,18.14747899,17.85865711,17.61453795,19.77061125,17.51126262,17.12549662,24.35155576,17.04188883,23.89223029,16.91865371,17.0114489,17.21178625,16.96603488,17.07515074,24.08233243,23.87442986,22.50468116,23.8213603,25.29859694,21.81384516,25.40821954,21.35726942,23.98461036,24.28197104,25.38652204,23.3870803,25.18966001,17.4956145,23.14546465,20.86369081,24.42960724,24.4353941,16.74899513,25.3932905,23.94183885,24.08822712,17.41139123,25.13312802,18.34236228,23.86969411,24.68706245,17.64559945,17.5002452,17.37678443
"(1R,2R,3R,5Z,7E)-2-[(5-Hydroxypentyl)oxy]-9,10-secocholesta-5,7,10-triene-1,3,25-triol",17.87302259,18.04271581,17.92728667,18.34745214,21.17167048,18.04271581,18.18060581,19.76006032,16.30747369,17.65336288,20.78968948,19.46020567,18.19204978,19.02646235,21.82471492,19.09226637,20.67567178,19.51368309,19.19967302,20.9600244,21.43872105,22.24001221,20.92728616,18.76347906,21.95189178,18.86774775,21.31452969,20.67567178,17.79230259,18.1161608,17.53628385,19.03644613,21.9381996,22.31162684,17.19316762,21.98042014,20.2303425,18.58067586,19.36207929,18.19204978,17.01624875,17.85865711,18.28498123,18.97417879,17.73660966,18.85323068,18.1161608,19.0678647,19.71927783
"(1R,2R,6R,9R)-2,11,11-trimethyl-3-oxotricyclo[4.3.2.0Âa,âµ]undecane-9-carboxylic acid",26.51335353,25.99068941,25.95525592,26.60687402,26.06319887,26.40669292,26.31224999,24.07168507,21.26684533,25.7748861,23.97269692,22.94307051,24.29165434,22.12252702,24.05181082,24.74421141,25.80778734,25.11107806,25.17375277,24.52140797,24.26500919,22.04536783,24.51614026,24.15729476,22.08166386,25.07428981,22.56075782,22.58288632,26.03276207,25.24303342,25.01748441,24.86542407,22.81513372,23.30008516,22.01882869,23.94760267,24.90436085,25.06713958,25.32131146,24.79158748,24.23246826,26.14406266,25.40821954,26.31224999,25.65828391,24.23246826,25.74215688,25.75693058,25.7748861
