,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,SI,SI,SI,SI,SI,SI,SI,SI,LI,LI,LI,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi
Trimellitic anhydride,20.59027618,20.32762995,20.57379408,20.69569516,23.26738273,20.46367918,20.46367918,19.9627974,17.5323397,20.00661611,19.38778838,18.22891206,19.08278227,18.0251126,18.83066014,19.1114633,19.78065128,19.79927029,19.80647831,18.10874348,17.98086299,17.65832847,18.00788108,19.03025523,17.73328149,18.88004148,17.62105985,18.13289642,19.00543869,19.10723899,18.77754997,18.58786559,18.46317678,18.06142593,17.32977035,18.8195583,18.39959746,19.02369066,19.24129338,19.04969955,19.23504584,20.37559698,19.1114633,20.29396488,18.97417879,18.95379564,20.21272937,20.47998738,20.11256848
Trimesic acid,19.51618188,19.33805587,19.39660619,19.62256617,19.24995685,19.35906636,19.6281342,19.0886835,17.17919433,19.12011333,18.35238502,18.61233998,17.78910692,17.74977953,18.13615972,18.40828873,18.89310089,18.65848941,18.99564301,17.88345858,17.7691117,17.80500005,17.5508111,18.36374324,17.9595185,18.16617694,17.48657469,17.87633065,18.21314748,18.5399265,17.91182448,18.35852052,17.57024416,17.59845588,17.15852443,17.96341575,17.74977953,17.9559103,18.8074101,18.37011634,18.48910652,19.29880665,18.76677552,19.45332552,18.13050423,18.39698958,19.3463999,19.42199433,19.04969955
Triphenylphosphine oxide,29.9444444,29.6228114,29.6228114,30.06385102,29.34788916,29.8849814,29.77894296,29.26154463,25.58237471,29.73393285,28.43872693,27.49177883,28.93440296,27.56645609,28.52943422,28.76537461,29.39284901,29.39284901,28.93440296,28.86527009,28.52943422,28.08192671,28.31720514,29.1165092,27.52511257,29.30314379,28.24483876,28.10016479,29.19287292,28.70239968,28.99796079,29.43140621,28.50689921,28.52943422,27.716681,29.22515501,28.73179662,28.93440296,28.73179662,28.19682969,28.56601207,29.43140621,28.70239968,29.6228114,27.73880991,28.34175096,29.43140621,29.30314379,29.16022738
Tris(2-butoxyethyl) phosphate,23.3421907,23.34705529,23.02741758,23.19699179,23.04689903,22.9853815,23.90949441,22.8907336,19.90295242,22.6553815,22.04536783,20.64761908,21.36124301,20.0506183,21.7647497,22.15883521,23.27219568,22.30082007,22.69961749,22.19248381,21.23414896,20.43793796,20.99033458,22.55179292,20.11967684,21.89113986,21.20269339,25.64050817,22.42884782,22.42421658,21.33284566,23.21444535,21.28833649,21.81045121,20.75393909,21.56648151,21.62447276,21.96751146,21.94416388,22.01101741,21.35726942,22.72069838,22.65925107,23.67792966,21.27075408,21.90594222,22.87868824,22.69961749,22.70630419
"Tris[2,4-bis(2-methyl-2-propanyl)phenyl] phosphate",25.83326892,25.40821954,25.03919295,25.81591,25.93021477,26.14406266,26.08811885,25.3932905,23.29539136,25.40063273,24.73845589,22.18100829,23.50598507,22.69176686,24.31812916,25.04701929,26.14406266,24.74421141,23.95834085,24.51614026,23.26213743,23.66294925,23.8542454,24.69248037,21.9761011,23.80064342,24.45788152,23.50187908,23.62597888,23.06265428,23.42663139,24.39938369,23.89723212,22.32000126,22.66783002,23.06265428,23.96386478,25.59813717,24.42960724,24.13383115,22.46669805,25.09580217,25.06018846,25.83326892,22.97525061,23.32579467,25.62532013,25.37382923,25.58237471
Trospium,18.17719559,18.20971123,18.26951556,18.43496123,18.0586613,18.30509104,18.259861,17.9998505,20.72395502,18.2025533,17.74566761,21.27987001,17.27969019,20.03354528,17.49111498,17.51126262,17.9595185,17.88345858,17.97358903,19.8027808,19.57836204,18.83973298,19.39348584,20.18144746,19.36775237,20.03102078,19.00543869,20.99033458,24.61201992,21.93371006,24.09441894,21.21762563,18.10578887,19.4245192,21.44294535,20.4086241,19.85779911,17.4956145,21.53403702,24.55029461,24.68706245,18.17719559,21.61177245,18.14272374,24.03293344,23.6015957,18.20669478,18.08620356,18.0705193
tyr-gln,19.25443444,19.27132956,19.20335547,19.50008386,19.5458651,18.98516702,19.42199433,19.31625266,17.44435243,19.24995685,22.74241884,21.88311034,18.35238502,22.45051325,22.23539477,20.14778255,19.06518469,18.86774775,19.12983957,17.605261,17.6247265,16.69347227,17.91182448,18.2025533,17.48657469,17.75362341,17.23210299,17.30691271,17.82342779,18.03936281,20.50586475,22.05675089,21.95189178,16.57498096,19.28526187,17.49111498,17.68475477,18.83698836,18.66536745,18.56022835,18.40303621,19.79564655,18.67811109,19.50298249,18.30905547,18.37677878,19.68521118,19.72207718,19.81630481
Tyr-Phe,17.93023859,19.35906636,18.83066014,18.01146293,18.59338538,18.90297523,17.98360305,18.11364533,21.81384516,19.95342813,22.51308158,20.51392319,18.86486064,21.62447276,21.94416388,19.70011257,17.66795066,18.04271581,18.66536745,17.587222,17.28798591,18.74305647,18.34236228,18.22891206,17.92728667,17.891203,18.39698958,17.85113315,17.9559103,18.51159229,21.99585615,20.77255824,22.6553815,17.2246136,20.66458611,19.06518469,17.61453795,17.76132553,18.65183126,18.53019704,18.25426138,18.52676426,18.64846206,17.71068217,18.62722117,18.53389434,17.9595185,18.8589553,17.79639297
Tyrosylalanine,21.31452969,20.76393,21.58609601,19.4148682,20.68524487,20.54846109,20.14097416,21.00058098,20.63439782,21.32560623,24.21007424,23.57781393,21.49115678,23.90412701,23.73892033,22.24001221,20.24677112,20.5444515,21.87566525,19.126186,18.88004148,19.78882745,19.89416423,19.50995069,20.30616741,18.36374324,19.8654973,17.73660966,17.70432169,18.62722117,21.46286031,23.80657965,24.0762045,19.21673828,21.88311034,20.47998738,18.6207582,20.18408031,19.20903815,17.84755624,18.04271581,19.12011333,19.20592648,18.73550691,18.96396097,17.89867001,19.64552093,21.00959271,19.50298249
Ubiquinone Q4,20.99766787,20.79285412,20.7376072,20.79285412,20.5444515,20.84022548,20.7376072,19.77391554,19.27132956,20.44547639,20.06097053,18.52676426,19.37446288,18.74590875,19.34858778,19.46790759,19.79927029,20.26615139,19.95977436,18.03571866,18.07321423,18.0804212,18.40572869,19.46337296,17.84755624,19.17210555,18.15464145,17.83091569,19.22184169,19.56664088,18.97417879,18.63665559,18.78530609,18.45415147,18.54251882,19.09962531,18.56579343,19.75406206,19.35906636,19.39660619,19.5540773,20.53547781,19.0886835,19.92097321,19.11703062,19.10723899,20.53547781,20.72395502,20.31389302
Ulipristal,17.0114489,17.21178625,17.12043222,17.18787476,17.04188883,17.07893078,17.10337361,17.07515074,18.26313595,16.98090144,19.81364659,18.34236228,22.7329821,20.83368911,21.31452969,20.73051014,19.63489484,20.94925211,21.43872105,22.42006092,21.90152195,24.91904818,21.78005467,19.52584968,21.91869022,22.16255812,23.449772,21.49946783,17.220953,19.38975152,23.13178877,21.55937738,24.57861018,23.50598507,24.65059357,23.68290838,22.09361144,23.13178877,16.71458531,17.6111505,17.57024416,18.5399265,17.1354275,17.66795066,17.97358903,17.76132553,17.08889109,17.45894356,17.96713966
undecenal,17.37678443,17.08889109,17.57832279,17.35024369,17.02227845,17.27340967,17.30691271,16.88238237,19.70011257,17.05379932,16.50711971,18.19589545,17.19724652,17.02227845,16.67843926,16.39924701,16.66528162,17.07038523,16.35787214,16.78397037,16.94457034,17.32439781,16.48927472,16.57498096,16.72738365,16.62621856,17.59845588,16.30747369,19.38443204,17.23734345,18.36070983,16.41201286,17.891203,17.55515999,19.08641456,16.90587213,16.53441572,17.37139599,16.72091961,21.52168832,21.48022312,17.35407047,16.85995242,17.03633502,22.65925107,18.70231682,17.15852443,17.15332615,17.10920046
UNII:120GN9C472,19.44506057,19.20592648,19.67055857,19.71927783,18.19589545,19.01738349,18.40828873,18.42307704,16.28384231,17.89530754,17.41139123,17.23734345,18.16617694,17.201546,17.08889109,17.5283372,17.71068217,17.56593314,17.34578722,17.67634187,18.04945291,16.18420261,17.41139123,18.50809975,16.35787214,17.57832279,17.07515074,17.00690444,17.07038523,17.11420103,18.04580689,18.47018356,16.15964801,16.45262163,17.2246136,17.63477461,17.8161691,18.12346921,18.0804212,17.86227782,18.10196241,19.46337296,17.53628385,19.53070916,18.18464667,18.91571448,19.5432772,19.33805587,19.52584968
UNII:5D67SBH6QB,20.08069826,20.21962998,20.08917851,19.89091266,20.17597135,19.9238073,19.8106568,21.18274296,18.24963432,19.71615204,22.01882869,20.32226693,19.11703062,20.40458447,21.83550369,20.42336303,21.33284566,20.35888319,21.29911504,18.40828873,19.43491046,21.31039992,20.43793796,18.66536745,21.86143331,18.31947698,19.87160851,18.28498123,18.57465734,19.71389391,19.29413428,18.56022835,21.9223332,21.00058098,17.98848314,20.03354528,18.42307704,19.98579403,18.72044379,19.24427233,19.20903815,20.49070696,19.3072841,20.47502238,19.03310111,19.04047573,20.02475847,19.91132886,20.81026429
UNII:5G75D69KFO,19.64552093,21.36842687,21.32959885,21.00677697,21.42867412,21.20269339,21.7735357,21.30313683,19.21150443,20.53547781,20.34025835,22.74738838,19.4969308,20.38197885,19.59301375,18.8589553,18.71495982,20.59820169,20.47238349,20.28736913,20.03694708,20.88954536,20.19031642,21.77690495,18.3133069,21.26394829,20.30353018,21.66222644,20.57993478,21.41454853,19.91545227,21.56281004,19.44908857,20.54168674,17.88345858,20.83368911,20.38532829,19.51368309,21.75184856,20.64761908,20.33452883,21.15704191,21.78382872,18.79865474,19.9919847,20.7429718,21.14273327,21.23108815,19.60400268
UNII:DU5YP0O31R,21.93371006,20.89448076,21.7019328,21.11631301,21.05407147,20.68111831,21.21377856,21.05407147,19.32940029,21.06555021,20.38532829,21.14960135,19.57836204,20.10987628,19.58674376,20.88614014,20.45219973,20.40458447,19.90025851,19.55141308,19.00204102,19.34342903,19.20335547,20.76024233,18.83698836,20.56776236,18.20669478,20.38197885,21.12303882,20.93436377,20.55752265,20.34590313,19.45719106,18.5399265,19.09226637,20.207233,20.08367381,20.24677112,21.07728719,21.38477818,20.80402153,21.50270445,20.98624218,20.6041039,21.39261542,20.90307559,20.7376072,20.69927781,20.47791225
UNII:OL56191M6N,24.52839074,24.72379249,24.19302899,24.33518547,24.33518547,24.57219113,25.73205706,24.08233243,21.45402433,23.98461036,23.18029113,23.10886056,23.57781393,21.9381996,23.375652,23.26213743,24.82593402,23.54267965,24.08822712,24.1001739,23.92494017,22.59590567,22.78907418,23.73491331,21.97174049,23.81720526,22.8351567,23.73491331,23.93051513,24.14591475,23.64983373,24.49370149,22.32000126,23.06265428,23.09009471,23.449772,22.99557495,23.29539136,23.35683577,23.90949441,23.62083227,24.04517374,24.22203278,25.6843662,23.73011269,24.14591475,24.27081918,24.09441894,23.99582083
UNII:TYL476W27Y,24.01731013,24.09441894,23.04689903,23.85885246,22.8048717,22.15085121,23.93051513,22.73781714,24.56173199,22.25594865,23.22875458,20.36194842,22.60952895,19.94724689,23.11615906,24.52839074,21.54698849,23.19280034,22.93829907,20.31754123,22.45533263,20.21272937,22.0036144,22.46669805,21.02545098,21.19912747,20.07758604,19.70570019,23.45973838,22.65159828,22.47147767,21.33573421,20.6041039,20.95637458,19.3463999,21.53403702,22.66783002,22.67189698,20.68111831,22.31162684,22.15883521,23.58226733,21.19008526,22.51734068,21.24654555,24.41650593,23.73491331,22.82431038,22.69552611
UNII:V9Q7UUZ15U,18.68493524,19.37115163,18.73550691,18.92551179,18.59615961,18.64846206,19.66777342,19.55717778,17.59845588,19.22890388,18.53019704,22.99017311,18.84556505,20.54168674,17.71809044,17.61453795,18.61233998,17.96341575,17.97781095,19.91132886,19.4245192,20.11967684,18.52231422,19.95342813,18.90666017,19.67427323,19.2465899,20.95637458,19.126186,22.17425751,18.23637893,20.4147303,17.15332615,19.62256617,16.32928329,20.59027618,19.07918524,18.7090502,20.97206879,18.96721801,18.46317678,19.70277784,21.69116927,18.54503606,20.00307278,21.81045121,18.81352016,18.66274256,18.34745214
Uplandicine,21.26394829,21.21377856,20.78560742,21.33573421,20.6179325,21.11979657,21.46587517,20.64761908,28.65089593,20.94925211,22.69552611,20.21962998,25.8609503,22.41162542,23.18575593,22.3739621,22.58288632,22.0895859,23.43986555,24.45243137,22.91831158,25.99829581,23.3870803,21.72679594,23.75937124,23.68290838,26.2034992,23.33687242,23.23309777,21.817702,24.69813997,22.47994087,26.60687402,25.60600453,26.01346302,25.67444491,23.67792966,24.9336111,19.88853788,19.48043386,19.62439731,20.35888319,19.5689877,20.97944031,19.49299813,19.12983957,20.90307559,20.57158732,20.51769509
Urate-3-ribonucleoside,19.1776335,16.90587213,20.6041039,21.68734969,24.26500919,16.8462812,18.79315988,21.48709735,16.50711971,24.82123716,24.73076127,23.22357651,23.22357651,24.58587053,25.23591336,24.97301107,24.91904818,23.91968373,22.67922558,21.40216885,23.58226733,21.89113986,23.45493968,21.23414896,23.84245664,20.2303425,23.37097168,20.94925211,22.78514558,20.84370593,18.37011634,20.82336587,22.67922558,23.75413883,22.9223431,23.00984932,21.38477818,22.16255812,20.08917851,20.2108308,20.43793796,22.14161702,21.1354065,22.60952895,20.3527305,20.76024233,23.82621833,20.99352433,22.68248467
uredofos,17.86227782,18.84556505,18.06548782,18.13289642,18.2025533,18.13948153,17.90836151,18.0251126,19.22890388,17.60762338,17.39388746,17.21178625,16.75602865,16.74899513,17.19316762,16.98727259,17.3155313,17.33438111,17.30146525,16.53441572,16.51722463,17.59394668,17.10920046,17.63211972,15.99835816,16.92563594,17.58333032,16.50711971,17.64957411,16.93407165,20.08917851,21.65513658,22.43227435,17.83091569,21.07728719,23.56116688,16.47287591,17.56593314,17.36180689,18.10578887,18.07321423,17.84339083,17.47663424,17.84755624,18.13948153,17.70751566,17.93947388,17.90289844,17.64559945
Uridine,31.75912549,31.55221054,30.72144239,30.9975203,30.89431764,30.06385102,30.53138463,29.34788916,24.36035599,31.37928196,31.08610459,30.37811411,31.37928196,30.63833889,31.24119552,31.08610459,31.99236523,31.37928196,31.55221054,32.27943427,30.89431764,29.73393285,31.08610459,31.99236523,29.6228114,31.55221054,30.72144239,30.06385102,30.79612685,30.16857819,26.49869416,30.12285335,31.24119552,29.30314379,27.30291014,27.54202948,31.75912549,31.55221054,31.75912549,30.53138463,29.9444444,31.99236523,30.72144239,31.55221054,29.8849814,29.52086307,31.75912549,31.99236523,31.37928196
Urocanic acid,23.17580666,23.50187908,23.68751871,22.27582948,24.63656162,22.95207912,23.19280034,23.58840498,23.36663657,22.60952895,22.41162542,20.02475847,21.25661051,20.52280302,23.74364253,27.13780775,23.449772,22.80159491,21.23704546,23.26738273,20.84613191,22.53179998,22.47147767,23.49692541,22.89447795,21.57014473,23.90949441,21.63384201,22.58798446,21.96751146,21.83214103,23.18575593,22.92652199,21.13197661,21.33994199,21.52168832,21.60766901,21.40694588,20.97536841,22.58288632,21.07728719,22.67922558,21.22135804,22.75206312,21.04720329,20.64761908,22.30524771,22.5476067,22.28603427
Urothion,17.7691117,17.89867001,18.10578887,19.63834118,19.31625266,18.00370808,17.57832279,18.96721801,24.39406245,20.84613191,21.07323828,19.98579403,23.09515673,20.9600244,23.18029113,22.55632039,22.04536783,20.58340438,22.93365595,23.86398765,23.95358906,23.73491331,23.62597888,22.0895859,25.60600453,21.22471281,24.95451828,21.93009348,22.1060993,20.80402153,22.92950992,22.34116952,23.2377912,26.01346302,22.31162684,24.04517374,22.14555679,22.46251777,19.00543869,18.23890189,18.76347906,19.74586458,18.59615961,19.88446374,18.6207582,18.69532822,20.0506183,19.70277784,19.71615204
UX9465930,20.50843755,19.85779911,20.96828735,21.19321312,19.45719106,20.44547639,21.15989407,19.69408082,20.72772655,20.92016359,19.50008386,20.41148433,19.31625266,19.31625266,19.17477854,19.89091266,20.51392319,19.67819402,19.68748146,19.36522964,18.55761038,18.8074101,18.33529315,19.23813398,19.36207929,19.84193288,18.39117818,19.326447,22.97944031,20.0506183,22.8907336,19.65155401,18.99564301,18.79538537,21.59900534,19.7352309,19.25207722,22.60952895,19.97090692,23.09515673,22.38174022,21.00323592,20.15148549,19.98313466,23.20944664,21.68734969,20.17597135,19.47756675,20.52951643
val-glu,24.52140797,25.52156581,24.76725312,25.38652204,25.06713958,24.44618029,24.52839074,24.82593402,22.77258171,24.74421141,26.31224999,23.97882627,24.4868514,25.55903107,26.02250715,25.17375277,24.61201992,25.65828391,24.83218497,22.04536783,23.31612196,22.07864134,24.67464562,22.8506797,22.31597575,21.38144993,22.96644128,22.02243817,24.1001739,23.32124538,22.61368952,24.24349076,26.45234019,19.81630481,25.29859694,23.86969411,23.7701401,22.73781714,24.57219113,25.28967603,24.53531773,24.76213358,24.69813997,25.12766351,23.63457514,23.76527801,25.8609503,24.95990914,25.76617477
Val-Leu,20.15745835,20.15745835,20.24947682,20.28736913,20.34590313,23.05612607,20.38197885,20.18408031,26.88290644,19.87840094,20.00307278,27.38847163,19.02646235,26.36200309,20.62785157,19.7352309,19.50694831,19.43831784,19.48612799,26.63245474,25.83326892,26.31224999,25.75693058,26.73425378,26.7466272,26.87077456,25.75693058,26.88290644,29.67489783,27.73880991,30.06385102,27.28877204,21.24285396,26.331853,28.65089593,27.09034412,26.4869384,18.9571973,27.2328119,29.73393285,29.57384327,19.92097321,27.26556709,20.22257204,29.30314379,28.73179662,20.01434391,20.03354528,19.74802296
Val-Met,17.24659226,17.35024369,18.30509104,17.94668868,19.55141308,17.38942294,17.33438111,18.90666017,20.48759891,18.68493524,22.95774475,21.79499563,19.81630481,23.17092485,23.10052882,21.69406468,18.61713396,18.12008723,21.93371006,16.09676685,16.13020374,16.33807946,17.43638867,16.64937757,16.75602865,16.28384231,16.15964801,16.0151232,16.59146901,16.67843926,20.04050246,21.46587517,20.84613191,15.82185628,21.17896116,15.98003614,16.15964801,20.449611,17.89867001,17.16428613,17.20732797,17.43638867,17.09373866,17.44035689,17.90836151,17.02861236,18.04945291,18.27534103,17.51534571
Valerophenone,20.7828544,19.23129521,18.78530609,20.46964147,20.79685303,20.67856717,20.93690301,19.89091266,17.201546,20.6502244,19.33497247,16.98727259,19.10723899,17.9861632,18.22135963,20.98624218,20.17842931,20.10987628,19.5689877,22.18428512,23.08116289,19.4059398,22.48805423,18.33892072,23.18575593,17.46896666,19.86830175,18.84226223,19.91545227,19.92748851,19.28754296,19.79236969,16.95167888,20.04754227,19.63489484,17.13118179,17.00690444,18.803798,19.18069582,17.65832847,19.29413428,20.66458611,19.50298249,20.53788905,19.02051571,17.48157253,20.63439782,20.66458611,20.46367918
Valpromide,23.20944664,22.70630419,23.79061074,23.36663657,21.68274927,22.97525061,21.62447276,23.5959729,21.82774928,21.68734969,20.24677112,26.75683513,21.44294535,25.13928031,21.31809293,22.90432744,22.20065034,21.62447276,20.29396488,24.44618029,24.02647486,25.37382923,24.22637803,24.85407241,23.7701401,24.90436085,24.50750368,25.20369028,23.6015957,25.84803208,23.95834085,25.6491054,20.01087082,24.55607945,22.30082007,25.13928031,24.51614026,22.42006092,25.37382923,24.16752721,23.64521859,23.46478319,25.28150313,22.53179998,24.54043888,25.87982344,23.20944664,22.45862627,23.93592767
Valyl-4-hydroxyproline,22.87868824,22.86352667,22.92652199,22.75206312,22.77258171,22.87868824,22.94676477,22.67579964,24.26500919,22.97944031,22.95207912,27.31996137,21.69116927,25.50436135,22.59201116,22.48805423,22.50468116,22.45862627,22.4464771,24.29165434,24.15239641,24.42228901,24.10593121,24.36680875,25.61606992,24.4868514,24.23823626,25.11107806,28.28977505,25.62532013,29.39284901,25.40063273,22.43648044,23.60595959,26.76654945,24.85982497,24.21559407,21.89113986,25.34616313,28.89838038,28.73179662,22.45051325,25.03919295,22.54000148,29.1165092,27.35222735,22.49667239,22.77776478,22.42421658
Valylproline,23.42663139,22.13366381,23.83155253,21.31039992,22.76362365,22.45862627,22.7329821,22.86881111,26.27727071,22.20065034,24.16752721,23.51466953,21.95189178,24.57219113,24.28197104,21.84997816,19.94724689,21.47253348,22.76362365,20.50253621,19.91545227,22.69552611,21.02253512,20.88954536,20.73368604,20.78560742,21.76124194,19.8027808,20.33698901,19.86830175,25.44173328,25.49579957,26.03276207,22.9708677,26.67478788,25.63203227,19.84861692,22.64727305,21.17468824,21.38144993,20.58708922,21.84997816,20.74036671,21.44294535,21.21377856,20.55473575,22.15085121,22.26817342,22.24641496
Vanillic acid,20.84613191,20.04754227,19.37446288,20.07758604,19.45332552,18.76026689,19.22184169,20.23692575,16.88772751,20.05713442,17.12043222,21.44995068,17.7408314,19.73232345,17.10337361,19.88446374,20.67856717,18.61713396,17.04818262,19.79927029,19.50995069,18.92841771,19.37446288,21.24968771,18.43496123,20.9600244,18.07649508,20.94490957,23.22357651,22.01409994,22.8506797,20.90307559,18.25426138,17.605261,18.90297523,19.18931362,19.95342813,17.90289844,21.71297088,23.29539136,23.15197859,20.86728114,21.82471492,19.1021059,23.3421907,22.47560259,19.67055857,19.28526187,20.23692575
Vanillin,19.4059398,20.42336303,20.36826559,19.0431442,18.85020683,20.35888319,20.36194842,21.02974388,21.17167048,18.15850732,18.02921212,25.55903107,17.31141671,24.35155576,18.25426138,19.77695333,19.03310111,19.55966117,19.00543869,23.83691229,23.50598507,24.28197104,23.63060478,24.03992012,22.3284401,24.24950422,22.66783002,24.54523001,23.94183885,25.32919766,24.38182276,24.62270274,18.33221854,23.45973838,21.64728048,24.21559407,23.88654588,18.89310089,24.79158748,24.29165434,23.89723212,20.21272937,24.73845589,20.2011406,24.75476578,24.69813997,19.95342813,19.31625266,19.84861692
Veliparib,20.02475847,20.38759492,20.06470702,19.19967302,18.66536745,19.82297721,19.66219949,19.48612799,21.48709735,18.81053297,19.45719106,21.16725287,18.68144684,18.94116189,19.38147069,19.27132956,18.51159229,19.38778838,18.78288295,18.23637893,19.73974731,18.81352016,18.79538537,19.26334044,19.39660619,19.11703062,19.32475818,18.87682771,20.11256848,19.8318071,19.80647831,18.75547232,19.54825729,19.00880021,19.87840094,19.6492386,18.0251126,18.96721801,19.92748851,20.52951643,20.1287983,20.07069347,20.09147817,18.43860535,20.76936942,20.41148433,19.07201477,19.19576025,19.14520045
Vorinostat,21.00058098,24.66840549,24.39406245,21.8211785,25.23591336,24.54043888,25.02967854,23.45493968,22.81513372,24.82593402,25.27262731,23.56116688,24.66840549,24.77467319,24.62270274,23.71947159,23.75937124,23.87989503,24.66840549,21.16232929,19.99961921,22.42421658,19.75406206,19.44506057,21.93009348,20.18144746,20.40458447,19.49299813,18.59884772,22.36968046,22.89946054,23.53767383,24.79851892,21.52168832,24.24950422,21.75469104,22.26393426,21.86433775,20.42336303,20.98624218,20.61391733,22.60445988,24.27598987,24.36035599,19.74802296,22.8506797,24.62926858,25.72093567,22.59201116
Xanthurenicacid,19.40951648,19.04047573,27.33303631,18.53019704,18.93805638,18.67811109,20.90841347,18.4986747,19.72689356,19.02369066,18.83377771,18.31613676,19.86830175,18.03571866,19.75769939,19.14159056,17.92371312,18.08344323,19.73974731,19.43491046,22.09815922,21.73890005,21.31809293,18.59058124,23.1264621,17.88345858,20.54168674,18.82318302,18.53642251,17.5002452,18.15850732,19.05592044,21.90894743,23.68751871,20.71989645,21.12737969,17.59845588,18.39307269,18.28498123,17.89530754,17.6247265,18.44911678,17.57832279,19.10473706,17.56222913,17.88044826,17.98848314,19.72689356,18.39117818
YK6000000,17.06522722,18.97105897,16.73433544,18.82801891,19.43831784,19.24129338,16.60582606,16.97165051,20.71030776,18.69247802,17.5002452,22.67189698,18.97702077,21.19912747,18.85323068,18.25426138,17.32977035,17.17919433,17.41941629,19.81364659,19.29413428,19.260331,18.91571448,21.02974388,20.3551337,20.4412085,19.75067326,21.21065991,22.72882649,21.79906164,22.93365595,20.92016359,19.9438865,20.10728404,20.32517104,20.14778255,19.50995069,19.06518469,21.23414896,23.25123086,23.00001503,17.32977035,20.88614014,16.64187775,23.55134578,23.60595959,19.35906636,16.91237565,16.91865371
YQ3683000,24.47003867,24.07168507,24.20516601,24.18127723,23.79640495,23.75413883,24.72379249,23.56116688,21.42867412,23.90949441,22.81513372,22.41572272,22.87426948,21.85320855,22.63974153,23.39321889,24.31812916,23.57781393,24.13937376,23.42300573,22.38525638,22.1060993,23.10441632,22.89946054,21.30698018,23.22875458,22.07864134,23.20565498,23.13178877,23.67218665,20.74036671,24.15239641,21.70951707,22.24310025,21.9223332,22.82910085,23.41868716,22.84683747,23.39321889,22.90432744,22.42006092,20.93690301,23.69372166,25.00310312,21.42867412,20.07443299,24.11802844,23.49692541,23.73892033
Zonampanel anhydrous,19.60704562,19.75406206,19.57836204,19.70277784,19.58674376,19.46337296,19.65366352,19.41755663,23.00405797,19.92986506,22.37787746,22.28603427,19.72207718,23.26213743,21.21762563,19.24995685,20.05713442,19.71615204,19.13527628,17.89867001,17.90289844,17.10920046,17.7408314,18.66943232,17.47235624,18.32666502,17.28385312,17.7691117,18.47018356,18.67811109,17.05379932,17.72559858,18.41630471,17.37678443,17.52349157,17.94341479,18.22474612,18.30905547,18.88004148,18.52676426,18.64155901,19.70011257,18.91232771,19.66219949,19.21468658,18.8074101,19.70011257,19.69408082,19.66777342
α-Aspartylphenylalanine,23.58840498,21.7647497,22.34116952,22.42884782,22.03014087,22.23539477,21.73890005,21.7735357,20.55473575,22.32000126,24.11802844,23.58840498,21.17167048,23.73892033,23.40780598,21.84278293,21.84698544,21.84997816,21.78382872,20.81477859,20.04050246,19.88152997,20.79285412,20.56419928,22.30524771,20.84971005,20.7828544,19.41755663,19.723998,20.3527305,22.59590567,25.52156581,26.40669292,18.59615961,22.77258171,19.66777342,20.02152762,20.46646877,20.91430554,18.96396097,20.30977208,21.84698544,20.59401937,21.93371006,19.44908857,19.50298249,20.49070696,21.6590801,21.14273327
β-Estradiol-17β-glucuronide,16.39053946,16.38266594,16.51722463,16.62621856,16.72738365,16.48927472,16.47287591,17.40261505,17.35769474,16.14449153,20.01851254,18.50154143,23.06265428,18.0705193,21.48709735,19.18069582,16.88772751,19.69077685,20.98624218,20.76393,19.7352309,23.24148822,20.67567178,16.85995242,21.24968771,18.77144294,22.74241884,19.723998,19.3072841,15.96540768,20.24677112,19.260331,23.42663139,23.91968373,23.90949441,23.17092485,20.73368604,21.39261542,16.57498096,18.28878289,18.10578887,16.30747369,16.49859025,16.43277744,19.09226637,16.79602436,16.47287591,16.33807946,16.32065901
Υ-L-Glutamyl-L-glutamic acid,25.84803208,28.22141244,26.91353909,25.58931498,26.04263399,25.34616313,26.45234019,26.331853,22.83887103,24.92653904,25.6843662,23.52375387,24.46295892,25.02967854,24.76725312,24.26066369,23.79640495,25.5489338,24.38182276,22.90432744,22.84303238,22.47994087,24.08822712,23.1264621,22.21285854,21.29526068,23.09009471,21.35726942,23.03212969,21.45774705,22.74738838,26.01346302,28.1224824,21.29911504,24.35155576,24.09441894,23.36055628,22.34843167,25.95525592,25.151671,24.02647486,26.18208227,26.31224999,27.65320017,23.20565498,24.59317299,28.67923534,26.37342504,24.86542407
?-(Methylenecyclopropyl)glycine,16.38266594,16.49859025,16.55928305,16.48124134,16.41201286,16.81057148,17.98848314,16.77723849,18.77144294,16.18420261,16.97165051,20.52026861,16.67843926,19.45332552,17.10920046,15.93148233,16.32928329,15.87398779,16.55928305,16.46384267,17.5283372,17.55515999,17.39388746,16.09676685,18.69982542,15.89414225,16.9392641,19.04969955,17.80500005,20.04372225,17.68056589,16.60582606,16.7632174,17.56593314,17.96967408,16.37067168,17.34578722,15.84443068,17.75362341,21.78382872,21.70578351,16.51722463,19.4059398,16.35000424,22.88499409,21.86775234,16.7632174,16.66528162,16.35787214
